
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-26 14:34:15 /api/csv/list .................................... ~ 1s
  2025-10-26 14:34:49 /api/get-insights-temp ..................... ~ 500.70ms

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-26 14:44:17 /api/csv/list .............................. ~ 501.03ms
  2025-10-26 14:44:18 /api/gmail/check ................................. ~ 1s
  2025-10-26 14:44:32 /api/gmail/check ........................... ~ 500.55ms
  2025-10-26 14:44:51 /api/get-insights-temp ..................... ~ 500.58ms
  2025-10-26 14:44:59 /api/csv/process ............................. ~ 0.32ms
  2025-10-26 14:46:40 /api/get-insights-temp ..................... ~ 505.72ms
  2025-10-26 14:46:40 /api/csv/list ................................ ~ 0.17ms
  2025-10-26 14:46:40 /api/gmail/check ................................. ~ 1s
  2025-10-26 14:46:50 /api/gmail/check ........................... ~ 500.83ms
  2025-10-26 14:48:10 /api/gmail/check ............................. ~ 0.44ms
  2025-10-26 14:48:11 /api/gmail/check ............................. ~ 0.19ms
  2025-10-26 14:48:28 /api/get-insights-temp ..................... ~ 500.89ms
  2025-10-26 14:48:28 /api/csv/list ................................ ~ 0.35ms
  2025-10-26 14:48:28 /api/gmail/check ............................. ~ 2.15ms
  2025-10-26 14:48:45 /api/get-insights-temp ....................... ~ 1.00ms
  2025-10-26 14:48:45 /api/csv/list .............................. ~ 500.55ms
  2025-10-26 14:48:45 /api/gmail/check ................................. ~ 1s
  2025-10-26 14:48:50 /api/gmail/check ........................... ~ 500.70ms
  2025-10-26 14:51:58 /api/gmail/check ............................. ~ 0.38ms
  2025-10-26 14:51:58 /api/get-insights-temp ....................... ~ 1.71ms
  2025-10-26 14:51:58 /api/csv/list .............................. ~ 500.52ms
  2025-10-26 14:51:59 /api/gmail/check ............................. ~ 0.15ms
  2025-10-26 14:52:07 /api/get-insights-temp ..................... ~ 501.73ms
  2025-10-26 14:52:07 /api/csv/list ................................ ~ 0.24ms
  2025-10-26 14:52:07 /api/gmail/check ........................... ~ 504.53ms
  2025-10-26 14:52:12 /api/get-insights-temp ..................... ~ 500.98ms
  2025-10-26 14:52:12 /api/csv/list .............................. ~ 504.91ms
  2025-10-26 14:52:12 /api/gmail/check ........................... ~ 503.91ms
  2025-10-26 15:00:41 /api/get-insights-temp ....................... ~ 0.61ms
  2025-10-26 15:00:41 /api/csv/list .............................. ~ 500.73ms
  2025-10-26 15:00:41 /api/gmail/check ........................... ~ 502.18ms

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-26 15:01:13 /api/get-insights-temp ..................... ~ 501.20ms
  2025-10-26 15:01:13 /api/csv/list .................................... ~ 1s
  2025-10-26 15:01:13 /api/gmail/check ........................... ~ 505.25ms
  2025-10-26 15:01:28 /api/get-insights-temp ..................... ~ 502.62ms
  2025-10-26 15:01:28 /api/csv/list ................................ ~ 0.27ms
  2025-10-26 15:01:28 /api/gmail/check ........................... ~ 503.45ms
  2025-10-26 15:02:54 /api/get-insights-temp ..................... ~ 501.57ms
  2025-10-26 15:02:54 /api/csv/list ................................ ~ 0.28ms
  2025-10-26 15:02:54 /api/gmail/check ........................... ~ 504.49ms
  2025-10-26 15:03:02 /api/get-insights-temp ....................... ~ 1.87ms
  2025-10-26 15:03:03 /api/csv/list ................................ ~ 1.82ms
  2025-10-26 15:03:03 /api/gmail/check ........................... ~ 503.74ms
  2025-10-26 15:06:59 /api/get-insights-temp ..................... ~ 500.87ms
  2025-10-26 15:06:59 /api/csv/list ................................ ~ 0.27ms
  2025-10-26 15:06:59 /api/gmail/check ........................... ~ 503.92ms
  2025-10-26 15:07:38 /api/get-insights-temp ..................... ~ 501.64ms
  2025-10-26 15:07:38 /api/csv/list ................................ ~ 1.70ms
  2025-10-26 15:07:38 /api/gmail/check ........................... ~ 509.69ms
  2025-10-26 15:07:57 /api/get-insights-temp ....................... ~ 0.68ms
  2025-10-26 15:07:57 /api/csv/list .............................. ~ 501.64ms
  2025-10-26 15:07:57 /api/gmail/check ........................... ~ 503.47ms
  2025-10-26 15:08:05 /api/get-insights-temp ....................... ~ 0.50ms
  2025-10-26 15:08:05 /api/csv/list .............................. ~ 500.57ms
  2025-10-26 15:08:05 /api/gmail/check ........................... ~ 502.54ms
  2025-10-26 15:08:09 /api/get-insights-temp ..................... ~ 502.42ms
  2025-10-26 15:08:10 /api/csv/list ................................ ~ 0.27ms
  2025-10-26 15:08:10 /api/gmail/check ........................... ~ 514.57ms
  2025-10-26 15:08:39 /api/get-insights-temp ..................... ~ 501.84ms
  2025-10-26 15:08:40 /api/csv/list ................................ ~ 0.20ms
  2025-10-26 15:08:40 /api/gmail/check ........................... ~ 503.34ms
  2025-10-26 15:09:14 / .......................................... ~ 500.56ms
  2025-10-26 15:09:17 / ............................................ ~ 0.25ms
  2025-10-26 15:09:18 /.env ...................................... ~ 500.72ms
  2025-10-26 15:09:19 /.env.local ................................ ~ 500.69ms
  2025-10-26 15:09:20 /.env.prod ................................... ~ 0.16ms
  2025-10-26 15:09:23 /.env.dev .................................. ~ 500.66ms
  2025-10-26 15:09:25 / .......................................... ~ 500.52ms
  2025-10-26 15:09:39 /https:/fonts.bunny.net .................... ~ 502.56ms
  2025-10-26 15:09:39 /https:/fonts.bunny.net/css?family=instrument-sans:400,500,600  ~ 0.15ms
  2025-10-26 15:09:40 /https:/api.behav.ai/login ................. ~ 500.74ms
  2025-10-26 15:09:40 /https:/laravel.com/docs ................... ~ 501.40ms
  2025-10-26 15:10:56 /api/get-insights-temp ....................... ~ 0.74ms
  2025-10-26 15:10:57 /api/csv/list .............................. ~ 500.86ms
  2025-10-26 15:10:57 /api/gmail/check ........................... ~ 502.55ms
  2025-10-26 15:11:01 /.env ...................................... ~ 500.74ms
  2025-10-26 15:11:02 /.env.local ................................ ~ 500.80ms
  2025-10-26 15:11:03 /.env.prod ................................. ~ 500.56ms
  2025-10-26 15:11:04 /.env.dev .................................... ~ 2.00ms
  2025-10-26 15:11:39 /api/get-insights-temp ..................... ~ 501.48ms
  2025-10-26 15:11:39 /api/csv/list ................................ ~ 0.14ms
  2025-10-26 15:11:39 /api/gmail/check ........................... ~ 504.94ms
